2026-03-28 16:57:50,601 | INFO | src.models.llm | Initializing AzureOpenAI Embeddings...
2026-03-28 16:57:51,066 | INFO | src.models.llm | AzureOpenAI Embeddings initialized successfully.
2026-03-28 16:57:51,066 | INFO | app | Loading existing vector store from data\gold\KPN-integrated-annual-report-2024_2025
2026-03-28 16:57:52,139 | INFO | src.utils.web_scraper | Loading URLs from c:\Akash\Career\tests\kpn\data\bronze\urls.txt
2026-03-28 16:57:52,141 | INFO | src.utils.web_scraper | Loaded 5 URLs
2026-03-28 16:57:52,141 | INFO | src.utils.web_scraper | [0] Processing URL: https://www.overons.kpn/nieuws/en/kpn-cla-2026-2027-new-arrangement-for-reservists/
2026-03-28 16:57:52,813 | INFO | src.utils.web_scraper | [1] Processing URL: https://www.overons.kpn/nieuws/en/kpn-best-mobile-network-in-the-netherlands-for-the-fifth-time-with-the-highest-score-worldwide/
2026-03-28 16:57:53,316 | INFO | src.utils.web_scraper | [2] Processing URL: https://www.overons.kpn/nieuws/en/kpn-launches-queryable-infrastructure-kpn-campus/
2026-03-28 16:57:54,028 | INFO | src.utils.web_scraper | [3] Processing URL: https://www.overons.kpn/nieuws/en/kpn-recognized-as-provider-with-the-best-digital-customer-experience/
2026-03-28 16:57:54,475 | INFO | src.utils.web_scraper | [4] Processing URL: https://www.overons.kpn/nieuws/en/king-and-minister-of-economic-affairs-on-a-working-visit-to-kpn-a-look-behind-the-scenes-of-digital-resilience/
2026-03-28 16:57:54,899 | INFO | src.utils.web_scraper | Successfully created 5 documents
2026-03-28 16:57:54,899 | INFO | src.models.llm | Initializing AzureOpenAI client.
2026-03-28 16:57:55,097 | INFO | src.models.llm | AzureOpenAI client initialized successfully.
2026-03-28 16:57:55,097 | INFO | src.models.llm | Initializing AzureOpenAI Embeddings...
2026-03-28 16:57:55,519 | INFO | src.models.llm | AzureOpenAI Embeddings initialized successfully.
2026-03-28 16:57:55,519 | INFO | app | Loading existing vector store from data\gold\KPN-news-articles
2026-03-28 17:02:25,853 | INFO | src.utils.pdf_parser | Checking SILVER for: KPN-integrated-annual-report-2024_2025.jsonl
2026-03-28 17:02:25,853 | INFO | src.utils.pdf_parser | JSONL found in SILVER. Loading documents
2026-03-28 17:02:25,865 | INFO | src.models.llm | Initializing AzureOpenAI client.
2026-03-28 17:02:26,109 | INFO | src.models.llm | AzureOpenAI client initialized successfully.
2026-03-28 17:02:26,109 | INFO | src.models.llm | Initializing AzureOpenAI Embeddings...
2026-03-28 17:02:26,721 | INFO | src.models.llm | AzureOpenAI Embeddings initialized successfully.
2026-03-28 17:02:26,721 | INFO | app | Loading existing vector store from data\gold\KPN-integrated-annual-report-2024_2025
2026-03-28 17:02:26,721 | INFO | src.utils.web_scraper | Loading URLs from c:\Akash\Career\tests\kpn\data\bronze\urls.txt
2026-03-28 17:02:26,729 | INFO | src.utils.web_scraper | Loaded 5 URLs
2026-03-28 17:02:26,729 | INFO | src.utils.web_scraper | [0] Processing URL: https://www.overons.kpn/nieuws/en/kpn-cla-2026-2027-new-arrangement-for-reservists/
2026-03-28 17:02:27,233 | INFO | src.utils.web_scraper | [1] Processing URL: https://www.overons.kpn/nieuws/en/kpn-best-mobile-network-in-the-netherlands-for-the-fifth-time-with-the-highest-score-worldwide/
2026-03-28 17:02:27,855 | INFO | src.utils.web_scraper | [2] Processing URL: https://www.overons.kpn/nieuws/en/kpn-launches-queryable-infrastructure-kpn-campus/
2026-03-28 17:02:28,416 | INFO | src.utils.web_scraper | [3] Processing URL: https://www.overons.kpn/nieuws/en/kpn-recognized-as-provider-with-the-best-digital-customer-experience/
2026-03-28 17:02:28,972 | INFO | src.utils.web_scraper | [4] Processing URL: https://www.overons.kpn/nieuws/en/king-and-minister-of-economic-affairs-on-a-working-visit-to-kpn-a-look-behind-the-scenes-of-digital-resilience/
2026-03-28 17:02:29,689 | INFO | src.utils.web_scraper | Successfully created 5 documents
2026-03-28 17:02:29,689 | INFO | src.models.llm | Initializing AzureOpenAI client.
2026-03-28 17:02:29,903 | INFO | src.models.llm | AzureOpenAI client initialized successfully.
2026-03-28 17:02:29,903 | INFO | src.models.llm | Initializing AzureOpenAI Embeddings...
2026-03-28 17:02:30,327 | INFO | src.models.llm | AzureOpenAI Embeddings initialized successfully.
2026-03-28 17:02:30,327 | INFO | app | Loading existing vector store from data\gold\KPN-news-articles
2026-03-28 17:12:45,071 | INFO | src.utils.web_scraper | Loading URLs from c:\Akash\Career\tests\kpn\data\bronze\urls.txt
2026-03-28 17:12:45,073 | INFO | src.utils.web_scraper | Loaded 5 URLs
2026-03-28 17:12:45,074 | INFO | src.utils.web_scraper | [0] Processing URL: https://www.overons.kpn/nieuws/en/kpn-cla-2026-2027-new-arrangement-for-reservists/
2026-03-28 17:12:45,624 | INFO | src.utils.web_scraper | [1] Processing URL: https://www.overons.kpn/nieuws/en/kpn-best-mobile-network-in-the-netherlands-for-the-fifth-time-with-the-highest-score-worldwide/
2026-03-28 17:12:46,085 | INFO | src.utils.web_scraper | [2] Processing URL: https://www.overons.kpn/nieuws/en/kpn-launches-queryable-infrastructure-kpn-campus/
2026-03-28 17:12:46,518 | INFO | src.utils.web_scraper | [3] Processing URL: https://www.overons.kpn/nieuws/en/kpn-recognized-as-provider-with-the-best-digital-customer-experience/
2026-03-28 17:12:46,967 | INFO | src.utils.web_scraper | [4] Processing URL: https://www.overons.kpn/nieuws/en/king-and-minister-of-economic-affairs-on-a-working-visit-to-kpn-a-look-behind-the-scenes-of-digital-resilience/
2026-03-28 17:12:47,449 | INFO | src.utils.web_scraper | Successfully created 5 documents
2026-03-28 17:12:47,449 | INFO | src.models.llm | Initializing AzureOpenAI client.
2026-03-28 17:12:47,656 | INFO | src.models.llm | AzureOpenAI client initialized successfully.
2026-03-28 17:12:47,656 | INFO | src.models.llm | Initializing AzureOpenAI Embeddings...
2026-03-28 17:12:48,083 | INFO | src.models.llm | AzureOpenAI Embeddings initialized successfully.
2026-03-28 17:12:48,083 | INFO | app | Loading existing vector store from data\gold\KPN-news-articles
2026-03-28 17:14:37,653 | INFO | src.utils.pdf_parser | Checking SILVER for: KPN-integrated-annual-report-2024_2025.jsonl
2026-03-28 17:14:37,654 | INFO | src.utils.pdf_parser | JSONL found in SILVER. Loading documents
2026-03-28 17:14:37,661 | INFO | src.models.llm | Initializing AzureOpenAI client.
